# NAU Concrete Canoe 2026 — Design A CNC Coordinates
# Design A — Optimal (Lightest)
# Hull: 192" × 32" × 17", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=17"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
28, 168.0, -6.123, 17.000
# --- Station 29 at 174" (beam=9.3") ---
29, 174.0, -4.645, 1.245
29, 174.0, -4.180, 1.120
29, 174.0, -3.716, 0.996
29, 174.0, -3.251, 0.871
29, 174.0, -2.787, 0.747
29, 174.0, -2.322, 0.622
29, 174.0, -1.858, 0.498
29, 174.0, -1.393, 0.373
29, 174.0, -0.929, 0.249
29, 174.0, -0.464, 0.124
29, 174.0, 0.000, 0.000
29, 174.0, 0.464, 0.124
29, 174.0, 0.929, 0.249
29, 174.0, 1.393, 0.373
29, 174.0, 1.858, 0.498
29, 174.0, 2.322, 0.622
29, 174.0, 2.787, 0.747
29, 174.0, 3.251, 0.871
29, 174.0, 3.716, 0.996
29, 174.0, 4.180, 1.120
29, 174.0, 4.645, 1.245
29, 174.0, 4.645, 17.000
29, 174.0, -4.645, 17.000
# --- Station 30 at 180" (beam=6.2") ---
30, 180.0, -3.121, 0.836
30, 180.0, -2.809, 0.753
30, 180.0, -2.497, 0.669
30, 180.0, -2.185, 0.585
30, 180.0, -1.873, 0.502
30, 180.0, -1.561, 0.418
30, 180.0, -1.249, 0.335
30, 180.0, -0.936, 0.251
30, 180.0, -0.624, 0.167
30, 180.0, -0.312, 0.084
30, 180.0, 0.000, 0.000
30, 180.0, 0.312, 0.084
30, 180.0, 0.624, 0.167
30, 180.0, 0.936, 0.251
30, 180.0, 1.249, 0.335
30, 180.0, 1.561, 0.418
30, 180.0, 1.873, 0.502
30, 180.0, 2.185, 0.585
30, 180.0, 2.497, 0.669
30, 180.0, 2.809, 0.753
30, 180.0, 3.121, 0.836
30, 180.0, 3.121, 17.000
30, 180.0, -3.121, 17.000
# --- Station 31 at 186" (beam=3.1") ---
31, 186.0, -1.568, 0.420
31, 186.0, -1.411, 0.378
31, 186.0, -1.255, 0.336
31, 186.0, -1.098, 0.294
31, 186.0, -0.941, 0.252
31, 186.0, -0.784, 0.210
31, 186.0, -0.627, 0.168
31, 186.0, -0.470, 0.126
31, 186.0, -0.314, 0.084
31, 186.0, -0.157, 0.042
31, 186.0, 0.000, 0.000
31, 186.0, 0.157, 0.042
31, 186.0, 0.314, 0.084
31, 186.0, 0.470, 0.126
31, 186.0, 0.627, 0.168
31, 186.0, 0.784, 0.210
31, 186.0, 0.941, 0.252
31, 186.0, 1.098, 0.294
31, 186.0, 1.255, 0.336
31, 186.0, 1.411, 0.378
31, 186.0, 1.568, 0.420
