# NAU Concrete Canoe 2026 — Design B CNC Coordinates
# Design B — Conservative (Extra Margin)
# Hull: 196" × 34" × 18", thickness 0.5"
# Stations every 6.0" (33 stations)
# Format: Station_Number, Position_in, X_coord, Y_coord
# Cross-section: V-bottom, deadrise=15°, depth=18"
# Origin: keel centerline at bottom

Station, Pos(in), X(in), Y(in)
# --- Station 0 at 0" (beam=0.0") ---
28, 168.0, 4.426, 1.186
28, 168.0, 5.163, 1.383
28, 168.0, 5.901, 1.581
28, 168.0, 6.638, 1.779
28, 168.0, 7.376, 1.976
28, 168.0, 7.376, 18.000
28, 168.0, -7.376, 18.000
# --- Station 29 at 174" (beam=11.7") ---
29, 174.0, -5.871, 1.573
29, 174.0, -5.284, 1.416
29, 174.0, -4.697, 1.259
29, 174.0, -4.110, 1.101
29, 174.0, -3.523, 0.944
29, 174.0, -2.936, 0.787
29, 174.0, -2.348, 0.629
29, 174.0, -1.761, 0.472
29, 174.0, -1.174, 0.315
29, 174.0, -0.587, 0.157
29, 174.0, 0.000, 0.000
29, 174.0, 0.587, 0.157
29, 174.0, 1.174, 0.315
29, 174.0, 1.761, 0.472
29, 174.0, 2.348, 0.629
29, 174.0, 2.936, 0.787
29, 174.0, 3.523, 0.944
29, 174.0, 4.110, 1.101
29, 174.0, 4.697, 1.259
29, 174.0, 5.284, 1.416
29, 174.0, 5.871, 1.573
29, 174.0, 5.871, 18.000
29, 174.0, -5.871, 18.000
# --- Station 30 at 180" (beam=8.6") ---
30, 180.0, -4.312, 1.155
30, 180.0, -3.881, 1.040
30, 180.0, -3.450, 0.924
30, 180.0, -3.018, 0.809
30, 180.0, -2.587, 0.693
30, 180.0, -2.156, 0.578
30, 180.0, -1.725, 0.462
30, 180.0, -1.294, 0.347
30, 180.0, -0.862, 0.231
30, 180.0, -0.431, 0.116
30, 180.0, 0.000, 0.000
30, 180.0, 0.431, 0.116
30, 180.0, 0.862, 0.231
30, 180.0, 1.294, 0.347
30, 180.0, 1.725, 0.462
30, 180.0, 2.156, 0.578
30, 180.0, 2.587, 0.693
30, 180.0, 3.018, 0.809
30, 180.0, 3.450, 0.924
30, 180.0, 3.881, 1.040
30, 180.0, 4.312, 1.155
30, 180.0, 4.312, 18.000
30, 180.0, -4.312, 18.000
# --- Station 31 at 186" (beam=5.4") ---
31, 186.0, -2.713, 0.727
31, 186.0, -2.442, 0.654
31, 186.0, -2.171, 0.582
31, 186.0, -1.899, 0.509
31, 186.0, -1.628, 0.436
31, 186.0, -1.357, 0.363
31, 186.0, -1.085, 0.291
31, 186.0, -0.814, 0.218
31, 186.0, -0.543, 0.145
31, 186.0, -0.271, 0.073
31, 186.0, 0.000, 0.000
31, 186.0, 0.271, 0.073
31, 186.0, 0.543, 0.145
31, 186.0, 0.814, 0.218
31, 186.0, 1.085, 0.291
31, 186.0, 1.357, 0.363
31, 186.0, 1.628, 0.436
31, 186.0, 1.899, 0.509
31, 186.0, 2.171, 0.582
31, 186.0, 2.442, 0.654
